Date,Temperature,Humidity,Status
2026-01-01,22.5,58,0
2026-01-02,23.1,60,0
2026-01-03,24.0,61,0
2026-01-04,25.2,64,1
2026-01-05,26.4,67,1
2026-01-06,27.1,69,1
2026-01-07,28.3,72,1
2026-01-08,29.0,74,1
2026-01-09,28.2,71,1
2026-01-10,26.8,68,1
2026-01-11,25.4,64,0
2026-01-12,24.2,61,0
2026-01-13,23.5,59,0
2026-01-14,22.8,57,0
2026-01-15,24.6,62,0
2026-01-16,26.0,66,1
2026-01-17,27.5,70,1
2026-01-18,29.1,75,1
2026-01-19,30.0,78,1
2026-01-20,29.4,76,1
2026-01-21,27.8,71,1
2026-01-22,26.1,66,1
2026-01-23,24.8,62,0
2026-01-24,23.6,59,0
2026-01-25,22.9,57,0
2026-01-26,24.3,61,0
2026-01-27,26.5,67,1
2026-01-28,28.0,72,1
2026-01-29,29.2,75,1
2026-01-30,27.0,69,1
